License_Year_License_Number,Business_Name,Street_Address,City,State,Zip_Code,Business_Phone_Number,Classification_Code,Classification_Description,License_Expir_Date,Issue_Date,License_Fiscal_Year,License_Number,License_Status,License_Status_Description,Council_District,Council_District_Description,Full_Address,FID,lon,lat,type,loctype,address,north,south,east,west
2015-7102,SOUTH BEND CHOCOLATE CO. @ STU,1801 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 277-4440,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-03-06T05:00:00Z,2015,7102,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1801 SOUTH BEND AVE, SOUTH BEND, IN 46637",4113,-86.221408,41.697621,premise,geometric_center,"1801 south bend ave, south bend, in 46637, usa",41.6988383802915,41.6961404197085,-86.2199322697085,-86.22263023029151
2015-7101,SOUTH BEND CHOCOLATE COMPANY,4667 PROGRESS DR,SOUTH BEND,IN,46628,(574) 289-8786,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-03-06T05:00:00Z,2015,7101,RN,Renewed,NA,NA,"4667 PROGRESS DR, SOUTH BEND, IN 46628",4114,-86.3138692,41.700434,street_address,rooftop,"4667 progress dr, south bend, in 46628, usa",41.7017082802915,41.69901031970851,-86.31230236970849,-86.31500033029151
2015-710,MARTIN'S SUPER MARKETS #1,1302 ELWOOD AVE,SOUTH BEND,IN,46680,(574) 233-8229,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-03T05:00:00Z,2015,710,RN,Renewed,SB1,COUNCIL DISTRICT 1,"1302 ELWOOD AVE, SOUTH BEND, IN 46680",4115,-86.2702953,41.6929953,premise,rooftop,"1302 elwood ave, south bend, in 46628, usa",41.6944120802915,41.6917141197085,-86.2686891197085,-86.2713870802915
2015-7096,HAMILTON'S TOWING,4707 W WESTERN AVE,SOUTH BEND,IN,46601,(574) 289-6364,VEHREM,VEHICLE REMOVAL,2016-01-31T05:00:00Z,2015-02-19T05:00:00Z,2015,7096,RN,Renewed,SB2,COUNCIL DISTRICT 2,"4707 W WESTERN AVE, SOUTH BEND, IN 46601",4116,-86.313718,41.6726767,premise,rooftop,"4707 w western ave, south bend, in 46619, usa",41.67393818029151,41.67124021970851,-86.3123789197085,-86.3150768802915
2015-7094,SKINNY'S CONEY CONCESSIONS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 210-6058,OPNAIR,OPEN AIR VENDORS PUBLIC,2016-01-31T05:00:00Z,2015-03-16T04:00:00Z,2015,7094,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4117,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-7092,ONE WORLD CENTER,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 783-6802,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-19T05:00:00Z,2015,7092,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4118,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-7091,ONE STOP SHOP,3529 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 234-7870,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-04-06T04:00:00Z,2015,7091,RN,Renewed,SB2,COUNCIL DISTRICT 2,"3529 W WESTERN AVE, SOUTH BEND, IN 46619",4119,-86.2982692,41.6721448,premise,rooftop,"3529 w western ave, south bend, in 46619, usa",41.6734121302915,41.6707141697085,-86.2969411697085,-86.29963913029151
2015-7090,JORDAN FISH AND CHICKEN INC,1107 LINCOLN WAY W,SOUTH BEND,IN,46616,(574) 386-6157,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-03T05:00:00Z,2015,7090,RN,Renewed,NA,NA,"1107 LINCOLN WAY W, SOUTH BEND, IN 46616",4120,-86.26655699999999,41.683554,premise,rooftop,"1107 lincoln way w, south bend, in 46616, usa",41.68489788029149,41.6821999197085,-86.26525251970848,-86.26795048029149
2015-709,KRIS'S KOUNTRY KITCHEN,2210 2212 MIAMI ST,SOUTH BEND,IN,46613,(574) 251-0377,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-06T05:00:00Z,2015,709,RN,Renewed,SB3,COUNCIL DISTRICT 3,"2210 2212 MIAMI ST, SOUTH BEND, IN 46613",4121,-86.2346427,41.6515352,street_address,rooftop,"2212 miami st #2210, south bend, in 46613, usa",41.6528869802915,41.6501890197085,-86.23341831970849,-86.2361162802915
2015-7089,MICHIANA BOAT & SPORTS SHOW,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 299-6839,TRANS,TRANSIENT MERCHANT,2015-02-15T05:00:00Z,2015-02-12T05:00:00Z,2015,7089,1N,1st Renewal Notice,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4122,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-7087,BLUE RIBBON TAXI,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-4040,TAXICAB,TAXI VEHICLE,2016-10-01T04:00:00Z,2015-01-22T05:00:00Z,2015,7087,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR, SOUTH BEND, IN 46628",4123,-86.30843349999999,41.7004594,premise,rooftop,"1843 commerce dr, south bend, in 46628, usa",41.7016982302915,41.69900026970851,-86.30708341970849,-86.30978138029151
2015-7086,BURTON'S RESALE,1355 N BENDIX DR,SOUTH BEND,IN,46628,(574) 255-6101,SECOND,SECOND HAND DEALERS,2016-01-31T05:00:00Z,2015-03-09T04:00:00Z,2015,7086,RN,Renewed,SB1,COUNCIL DISTRICT 1,"1355 N BENDIX DR, SOUTH BEND, IN 46628",4124,-86.2944438,41.6928028,premise,rooftop,"1355 n bendix dr, south bend, in 46628, usa",41.6940586302915,41.6913606697085,-86.29297456970849,-86.2956725302915
2015-7085,"INTEGRITY TREE SERVICES, LLC",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(616) 301-1300,ARBOR,ARBORIST/TREE SERVICE,2016-01-31T05:00:00Z,2015-01-27T05:00:00Z,2015,7085,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4125,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-7084,MC DONALD'S 3206,5021 W WESTERN AVE,SOUTH BEND,IN,46601,(574) 400-0775,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-19T05:00:00Z,2015,7084,RN,Renewed,SB2,COUNCIL DISTRICT 2,"5021 W WESTERN AVE, SOUTH BEND, IN 46601",4126,-86.31856119999999,41.6726114,premise,rooftop,"5021 w western ave, south bend, in 46619, usa",41.6739594302915,41.6712614697085,-86.31724946970849,-86.31994743029149
2015-7083,MC DONALD'S 574,2001 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 400-0775,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-11T05:00:00Z,2015,7083,RN,Renewed,SB3,COUNCIL DISTRICT 3,"2001 S MICHIGAN ST, SOUTH BEND, IN 46613",4127,-86.2502927,41.653335,premise,rooftop,"2001 s michigan st, south bend, in 46613, usa",41.65468398029149,41.6519860197085,-86.24875111970852,-86.25144908029152
2015-7082,MC DONALD'S 493,416 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 400-0775,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-05T05:00:00Z,2015,7082,RN,Renewed,SB1,COUNCIL DISTRICT 1,"416 N MICHIGAN ST, SOUTH BEND, IN 46601",4128,-86.2500041,41.6809656,premise,rooftop,"416 n michigan st, south bend, in 46601, usa",41.6824003302915,41.6797023697085,-86.24874956970851,-86.25144753029151
2015-7081,MC DONALD'S 2982,3221 LINCOLN WAY W,SOUTH BEND,IN,466281450,(574) 400-0775,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-05T05:00:00Z,2015,7081,RN,Renewed,NA,NA,"3221 LINCOLN WAY W, SOUTH BEND, IN 466281450",4129,-86.294462,41.69168699999999,street_address,rooftop,"3221 lincoln way w, south bend, in 46628, usa",41.6930381802915,41.6903402197085,-86.2931165197085,-86.29581448029151
2015-7080,KETTLE & KEITH INC / DBA DIXIE,808 E COLFAX AVE,SOUTH BEND,IN,46617,(574) 703-7309,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-03T05:00:00Z,2015,7080,IN,Incative and no longer licensed,NA,NA,"808 E COLFAX AVE, SOUTH BEND, IN 46617",4130,-86.23947179999999,41.6775189,premise,rooftop,"808 e colfax ave, south bend, in 46617, usa",41.6790023302915,41.6763043697085,-86.23812281970851,-86.24082078029151
2015-708,FRICK'S DAIRY QUEEN,3907 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 291-2330,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-25T05:00:00Z,2015,708,RN,Renewed,SB6,COUNCIL DISTRICT 6,"3907 S MICHIGAN ST, SOUTH BEND, IN 46614",4131,-86.2511042,41.6350813,premise,rooftop,"3907 s michigan st, south bend, in 46614, usa",41.6364470302915,41.6337490697085,-86.24975516970848,-86.2524531302915
2015-7079,LET'S SPOON FROZEN YOGURT,1635 EDISON RD,SOUTH BEND,IN,46637,(574) 904-9240,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-01-20T05:00:00Z,2015,7079,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1635 EDISON RD, SOUTH BEND, IN 46637",4132,-86.22398849999999,41.6947129,street_address,rooftop,"1635 edison rd, south bend, in 46637, usa",41.6959981802915,41.6933002197085,-86.22265896970849,-86.2253569302915
2015-7078,CANTEEN VENDING,4402 TECHNOLOGY DR,SOUTH BEND,IN,46628,(574) 307-7655,VDGMCH,FOOD VENDING MACHINES,2016-01-31T05:00:00Z,2015-01-08T05:00:00Z,2015,7078,RN,Renewed,SB1,COUNCIL DISTRICT 1,"4402 TECHNOLOGY DR, SOUTH BEND, IN 46628",4133,-86.34186820000001,41.7362206,premise,rooftop,"4402 technology dr, south bend, in 46628, usa",41.7375695802915,41.7348716197085,-86.3407169197085,-86.3434148802915
2015-7077,RETREDZ,3030 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 226-2672,SECOND,SECOND HAND DEALERS,2016-01-31T05:00:00Z,2015-02-11T05:00:00Z,2015,7077,RN,Renewed,SB3,COUNCIL DISTRICT 3,"3030 MISHAWAKA AVE, SOUTH BEND, IN 46615",4134,-86.204061,41.665548,street_address,rooftop,"3030 e mishawaka ave, south bend, in 46615, usa",41.6668492302915,41.6641512697085,-86.20261666970849,-86.2053146302915
2015-7074,KICK BACK BAR & GRILL,643 LA PORTE AVE,SOUTH BEND,IN,46628,(574) 703-7170,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-11T05:00:00Z,2015,7074,RN,Renewed,SB2,COUNCIL DISTRICT 2,"643 LA PORTE AVE, SOUTH BEND, IN 46628",4135,-86.27171589999999,41.6828781,premise,rooftop,"643 la porte ave, south bend, in 46628, usa",41.6842403802915,41.6815424197085,-86.2703927697085,-86.2730907302915
2015-7073,AUTOFROST,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(888) 702-7664,VDGMCH,FOOD VENDING MACHINES,2016-01-31T05:00:00Z,2014-12-22T05:00:00Z,2015,7073,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4136,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-7071,EL ARRIERO BAR & GRILL,4505 AMERITECH DR,SOUTH BEND,IN,46628,(574) 243-1177,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-01-08T05:00:00Z,2015,7071,RN,Renewed,SB1,COUNCIL DISTRICT 1,"4505 AMERITECH DR, SOUTH BEND, IN 46628",4137,-86.33605209999999,41.7387406,premise,rooftop,"4505 ameritech dr, south bend, in 46628, usa",41.74005083029149,41.7373528697085,-86.3347231197085,-86.33742108029152
2015-707,FARMER'S MARKET CAFE,1105 NORTHSIDE BLVD,SOUTH BEND,IN,46615,(574) 282-1259,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-05-05T04:00:00Z,2015,707,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1105 NORTHSIDE BLVD, SOUTH BEND, IN 46615",4138,-86.2341899,41.6657709,premise,rooftop,"1105 northside blvd, south bend, in 46615, usa",41.6670516302915,41.6643536697085,-86.2332159197085,-86.2359138802915
2015-7069,DOCKSIDE,1835 LINCOLN WAY E,SOUTH BEND,IN,46613,(574) 400-0848,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-04-28T04:00:00Z,2015,7069,RN,Renewed,NA,NA,"1835 LINCOLN WAY E, SOUTH BEND, IN 46613",4139,-86.21927389999999,41.6583773,premise,rooftop,"1835 lincolnway e, south bend, in 46613, usa",41.65950223029149,41.6568042697085,-86.21792496970849,-86.2206229302915
2015-7068,RALLY'S,5307 W WESTERN AVE,SOUTH BEND,IN,46619,(000) 000-0000,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-04-22T04:00:00Z,2015,7068,RN,Renewed,SB2,COUNCIL DISTRICT 2,"5307 W WESTERN AVE, SOUTH BEND, IN 46619",4140,-86.3216714,41.6722527,premise,geometric_center,"5307 w western ave, south bend, in 46619, usa",41.6736966302915,41.6709986697085,-86.32008996970849,-86.3227879302915
2015-7067,YMCA OF MICHIANA INC,3300 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 287-9622,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-02-05T05:00:00Z,2015,7067,RN,Renewed,SB6,COUNCIL DISTRICT 6,"3300 W SAMPLE ST, SOUTH BEND, IN 46619",4141,-86.29502629999999,41.6636245,premise,rooftop,"3300 w sample st, south bend, in 46619, usa",41.6655125302915,41.6628145697085,-86.2939136197085,-86.29661158029151
2015-7066,"AVI FOODSYSTEMS, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(330) 372-6000,VDGMCH,FOOD VENDING MACHINES,2016-01-31T05:00:00Z,2014-12-09T05:00:00Z,2015,7066,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4142,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-7065,COFFEL VENDING,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 255-5321,VDGMCH,FOOD VENDING MACHINES,2016-01-31T05:00:00Z,2014-12-08T05:00:00Z,2015,7065,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4143,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-7062,COPS MONITORING,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(856) 629-1111,ALARM,ALARM AGENT,2016-01-31T05:00:00Z,2014-12-03T05:00:00Z,2015,7062,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4144,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-7061,PORTAGE CONVENIENCE STORE,1409 PORTAGE AVE,SOUTH BEND,IN,46616,(574) 204-2589,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-02-19T05:00:00Z,2015,7061,RN,Renewed,SB1,COUNCIL DISTRICT 1,"1409 PORTAGE AVE, SOUTH BEND, IN 46616",4145,-86.2699171,41.694454,premise,rooftop,"1409 portage ave, south bend, in 46616, usa",41.69584518029149,41.6931472197085,-86.2684235697085,-86.27112153029151
2015-5802,"GROUP 2 PROMOTIONS, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 271-8488,TRANS,TRANSIENT MERCHANT,2015-03-31T04:00:00Z,2015-03-24T04:00:00Z,2015,5802,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4146,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6493,EARL WILLIAMS,3224 ARDMORE TRL,SOUTH BEND,IN,46628,(773) 793-8290,PEDDLR,PEDDLER & CANVASSER,2016-01-31T05:00:00Z,2015-06-19T04:00:00Z,2015,6493,IN,Incative and no longer licensed,SB2,COUNCIL DISTRICT 2,"3224 ARDMORE TRL, SOUTH BEND, IN 46628",4147,-86.29411669999999,41.6901392,premise,rooftop,"3224 ardmore trail, south bend, in 46628, usa",41.6914903302915,41.6887923697085,-86.2927406197085,-86.2954385802915
2015-7171,CRISTOPHER LINDGREN - NORTHSTA,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(800) 775-7827,PEDDLR,PEDDLER & CANVASSER,2016-01-31T05:00:00Z,2015-05-18T04:00:00Z,2015,7171,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4148,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-7030,1115 N NOTRE DAME AVE,1115 N NOTRE DAME AVE,SOUTH BEND,IN,46617,(574) 283-0737,LPARKU,LAWN PARK UNDER 10 SPACES,2015-11-15T05:00:00Z,2015-09-03T04:00:00Z,2015,7030,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1115 N NOTRE DAME AVE, SOUTH BEND, IN 46617",4149,-86.2385917,41.6904103,premise,rooftop,"1115 n notre dame ave, south bend, in 46617, usa",41.6917696802915,41.6890717197085,-86.2372696697085,-86.2399676302915
2015-7060,TAQUERIA LOS GARCIA,1140 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 217-7663,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-04-02T04:00:00Z,2015,7060,RN,Renewed,SB2,COUNCIL DISTRICT 2,"1140 W WESTERN AVE, SOUTH BEND, IN 46619",4150,-86.2677767,41.6719387,street_address,rooftop,"1140 w western ave, south bend, in 46601, usa",41.6733777802915,41.670679819708504,-86.2664295197085,-86.2691274802915
2015-706,EVANGEL HTS. UNITED METH. CHUR,114 N IRONWOOD DR,SOUTH BEND,IN,46615,(574) 234-8379,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-03T05:00:00Z,2015,706,RN,Renewed,SB4,COUNCIL DISTRICT 4,"114 N IRONWOOD DR, SOUTH BEND, IN 46615",4151,-86.2154329,41.6773457,premise,rooftop,"114 n ironwood dr, south bend, in 46615, usa",41.67868478029149,41.6759868197085,-86.2140569697085,-86.2167549302915
2015-7059,ST VINCENT DE PAUL SOCIETY OF,520 CRESCENT AVE,SOUTH BEND,IN,46617,(574) 234-6000,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-06-25T04:00:00Z,2015,7059,RN,Renewed,SB4,COUNCIL DISTRICT 4,"520 CRESCENT AVE, SOUTH BEND, IN 46617",4152,-86.2438707,41.6838151,premise,rooftop,"520 crescent ave, south bend, in 46617, usa",41.68516203029149,41.68246406970849,-86.24255601970849,-86.24525398029151
2015-7057,STUDEBAKER NATIONAL MUSEUM INC,201 CHAPIN ST,SOUTH BEND,IN,46601,(574) 235-9714,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-04-09T04:00:00Z,2015,7057,RN,Renewed,SB2,COUNCIL DISTRICT 2,"201 CHAPIN ST, SOUTH BEND, IN 46601",4153,-86.2619656,41.67476389999999,street_address,rooftop,"201 chapin st, south bend, in 46601, usa",41.6760856302915,41.6733876697085,-86.26090041970849,-86.2635983802915
2015-7045,CIAO'S,707 CEDAR ST,SOUTH BEND,IN,46617,(574) 289-2426,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-16T04:00:00Z,2015,7045,IN,Incative and no longer licensed,SB4,COUNCIL DISTRICT 4,"707 CEDAR ST, SOUTH BEND, IN 46617",4154,-86.2409156,41.6822398,premise,rooftop,"707 cedar st, south bend, in 46617, usa",41.6835019302915,41.6808039697085,-86.2395942697085,-86.24229223029153
2015-7043,BREAD 4 LIFE BAKERY,1406 E EWING AVE,SOUTH BEND,IN,46614,(574) 968-7001,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-23T05:00:00Z,2015,7043,IN,Incative and no longer licensed,SB3,COUNCIL DISTRICT 3,"1406 E EWING AVE, SOUTH BEND, IN 46614",4155,-86.22760129999999,41.6507629,premise,rooftop,"1406 e ewing ave, south bend, in 46614, usa",41.6522749302915,41.64957696970851,-86.2262941697085,-86.2289921302915
2015-7042,LOW BOBS EXPRESS,4505 AMERITECH DR,SOUTH BEND,IN,46628,(574) 243-5392,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-04-09T04:00:00Z,2015,7042,RN,Renewed,SB1,COUNCIL DISTRICT 1,"4505 AMERITECH DR, SOUTH BEND, IN 46628",4156,-86.33605209999999,41.7387406,premise,rooftop,"4505 ameritech dr, south bend, in 46628, usa",41.74005083029149,41.7373528697085,-86.3347231197085,-86.33742108029152
2015-704,BURGER KING #6622,1113 E IRELAND RD,SOUTH BEND,IN,46614,(574) 291-4300,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-19T05:00:00Z,2015,704,RN,Renewed,SB5,COUNCIL DISTRICT 5,"1113 E IRELAND RD, SOUTH BEND, IN 46614",4157,-86.23393759999999,41.6296967,premise,rooftop,"1113 e ireland rd, south bend, in 46614, usa",41.6310207302915,41.6283227697085,-86.23257991970848,-86.2352778802915
2015-7038,LAZ PARKING MIDWEST LLC,1228 N EDDY ST,SOUTH BEND,IN,46617,(860) 522-7641,PARK,PUBLIC PARKING FACILITY,2016-01-31T05:00:00Z,2014-12-09T05:00:00Z,2015,7038,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1228 N EDDY ST, SOUTH BEND, IN 46617",4158,-86.23530629999999,41.6917506,street_address,rooftop,"1228 n eddy st, south bend, in 46617, usa",41.6932367302915,41.6905387697085,-86.2340597197085,-86.2367576802915
2015-7037,KITCHEN SKATE PARK,3300 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 217-8986,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2014-12-04T05:00:00Z,2015,7037,2N,2nd Renewal Notice,SB6,COUNCIL DISTRICT 6,"3300 W SAMPLE ST, SOUTH BEND, IN 46619",4159,-86.29502629999999,41.6636245,premise,rooftop,"3300 w sample st, south bend, in 46619, usa",41.6655125302915,41.6628145697085,-86.2939136197085,-86.29661158029151
2015-7036,BOYS & GIRLS CLUB OF ST JOSEPH,502 E SAMPLE ST,SOUTH BEND,IN,46601,(574) 232-2048,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-02T05:00:00Z,2015,7036,RN,Renewed,SB3,COUNCIL DISTRICT 3,"502 E SAMPLE ST, SOUTH BEND, IN 46601",4160,-86.2434766,41.66428519999999,premise,geometric_center,"502 e sample st, south bend, in 46601, usa",41.66588288029151,41.66318491970851,-86.24215571970849,-86.24485368029151
2015-7035,PIZZA HUT #34144,4615 MIAMI ST,SOUTH BEND,IN,46614,(574) 231-9181,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-03-03T05:00:00Z,2015,7035,RN,Renewed,SB5,COUNCIL DISTRICT 5,"4615 MIAMI ST, SOUTH BEND, IN 46614",4161,-86.2356188,41.6275371,premise,rooftop,"4615 miami st, south bend, in 46614, usa",41.6289041302915,41.6262061697085,-86.2343451197085,-86.2370430802915
2015-703,BURGER KING #3722,121 W LASALLE AVE,SOUTH BEND,IN,46601,(574) 233-8651,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-13T05:00:00Z,2015,703,RN,Renewed,NA,NA,"121 W LASALLE AVE, SOUTH BEND, IN 46601",4162,-86.25160989999999,41.6794385,premise,rooftop,"121 w lasalle ave, south bend, in 46601, usa",41.6807707802915,41.6780728197085,-86.2502053697085,-86.2529033302915
2015-6489,WALMART SUPERCENTER #3436,700 W IRELAND RD,SOUTH BEND,IN,46614,(574) 299-1284,SECOND,SECOND HAND DEALERS,2016-01-31T05:00:00Z,2015-02-19T05:00:00Z,2015,6489,RN,Renewed,SB6,COUNCIL DISTRICT 6,"700 W IRELAND RD, SOUTH BEND, IN 46614",4163,-86.2578748,41.6263034,premise,rooftop,"walmart, erskine commons, 700 w ireland rd, south bend, in 46614, usa",41.6276672802915,41.6249693197085,-86.2565094197085,-86.2592073802915
2015-7024,1515 ROSEMARY LN,1515 ROSEMARY LN,SOUTH BEND,IN,46637,(574) 234-6241,LPARKO,LAWN PARK 10 OR MORE SPACES,2015-11-22T05:00:00Z,2015-09-03T04:00:00Z,2015,7024,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1515 ROSEMARY LN, SOUTH BEND, IN 46637",4164,-86.21898709999999,41.69551939999999,premise,rooftop,"1515 rosemary ln, south bend, in 46637, usa",41.6968683802915,41.6941704197085,-86.21753606970849,-86.22023403029151
2015-6487,CV TECHNOLOGY LLC,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-4366,ALARM,ALARM AGENT,2016-01-31T05:00:00Z,2015-01-23T05:00:00Z,2015,6487,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4165,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-7023,GOODWILL INDUSTRIES OF MICHIAN,1805 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 472-7300,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-24T04:00:00Z,2015,7023,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1805 W WESTERN AVE, SOUTH BEND, IN 46619",4166,-86.2768062,41.67358979999999,premise,rooftop,"1805 w western ave, south bend, in 46619, usa",41.6749791302915,41.6722811697085,-86.27547101970849,-86.2781689802915
2015-6485,"PURPLE PORCH CO-OP, INC",123 N HILL ST,SOUTH BEND,IN,46617,(574) 287-6724,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-03-24T04:00:00Z,2015,6485,RN,Renewed,NA,NA,"123 N HILL ST, SOUTH BEND, IN 46617",4167,-86.24316139999999,41.6772274,premise,rooftop,"123 n hill st, south bend, in 46617, usa",41.6786323802915,41.6759344197085,-86.2418124197085,-86.2445103802915
2015-7021,GOOD SHEPHERD MONTESSORI SCHOO,1101 E JEFFERSON BLVD,SOUTH BEND,IN,46617,(574) 288-0098,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-08-19T04:00:00Z,2015,7021,RN,Renewed,SB2,COUNCIL DISTRICT 2,"1101 E JEFFERSON BLVD, SOUTH BEND, IN 46617",4168,-86.23438019999999,41.6767818,premise,rooftop,"1101 e jefferson blvd, south bend, in 46617, usa",41.6780965302915,41.6753985697085,-86.23305541970849,-86.2357533802915
